id,district
20821,Басманный
25597,Басманный
26123,Аэропорт
143376,Аэропорт
145549,Аэропорт
29052,Чертаново Центральное
29676,Чертаново Южное
128664,Тверской
24314,Тверской
23204,Ивановское
59277,Басманный
149539,Басманный
119170,Басманный
24909,Басманный
22363,Басманный
157911,Басманный
98449,Басманный
24692,Басманный
21834,Басманный
24679,Басманный
154418,Басманный
137181,Басманный
148011,Басманный
29157,Таганский
69633,Якиманка
120511,Якиманка
114969,Якиманка
155675,Якиманка
27200,Якиманка
146643,Якиманка
128787,Якиманка
129919,Якиманка
121100,Даниловский
20386,Южнопортовый
29356,Академический
86309,Пресненский
23863,Гагаринский
136093,Академический
154593,Академический
21279,Орехово-Борисово Северное
81684,Пресненский
104094,Пресненский
88472,Пресненский
26470,Пресненский
157841,Пресненский
25492,Северное Медведково
149086,Печатники
148419,Печатники
23516,Печатники
23478,Печатники
121104,Даниловский
29775,Северное Измайлово
26197,Гольяново
27236,Гольяново
148320,Северное Измайлово
139235,Северное Измайлово
154280,Гольяново
22535,Мещанский
22474,Мещанский
25624,Соколиная Гора
27074,Соколиная Гора
21867,Соколиная Гора
26826,Хамовники
156470,Бирюлёво Восточное
21143,Лефортово
73663,Лефортово
23396,Лефортово
144665,Лефортово
25500,Лефортово
27121,Перово
27305,Перово
124807,Перово
22331,Савёлки
26248,Текстильщики
27526,Текстильщики
20383,Текстильщики
119411,Бутырский
146440,Бутырский
69174,Беговой
20533,Чертаново Южное
27018,Алексеевский
29229,Ярославский
27467,Ярославский
149825,Ярославский
143603,Ярославский
24436,Ярославский
23170,Ярославский
23168,Ярославский
24649,Ярославский
29529,Южное Медведково
87543,Таганский
20199,Матушкино
68113,Матушкино
20105,Матушкино
22982,Матушкино
151267,Матушкино
150537,Старое Крюково
128119,Силино
24023,Крюково
108240,Тверской
156698,Тверской
19905,Крылатское
22813,Кунцево
24250,Пресненский
74579,Пресненский
52556,Таганский
81675,Хамовники
134370,Хамовники
83744,Хамовники
80549,Хамовники
25241,Алексеевский
25779,Москворечье-Сабурово
82532,Ростокино
27994,Ярославский
133739,Южное Медведково
133075,Южное Медведково
136977,Марьина Роща
23132,Северное Медведково
20865,Таганский
148879,Сокол
27477,Гольяново
152079,Нагорный
129786,Некрасовка
129131,Отрадное
84196,Северное Бутово
24453,Перово
24022,Крюково
149745,Крюково
127645,Митино
134037,Митино
22946,Митино
155700,Ярославский
83351,Митино
19859,Митино
120976,Беговой
26224,Выхино-Жулебино
26171,Марьина Роща
20409,Северное Бутово
23472,Митино
28532,Тёплый Стан
19918,Кунцево
26310,Обручевский
134075,Кунцево
24061,Митино
24106,Митино
23347,Митино
23922,Обручевский
106204,Митино
138504,Мещанский
83150,Выхино-Жулебино
76706,Черёмушки
129818,Выхино-Жулебино
25989,Красносельский
21840,Арбат
88069,Арбат
59310,Выхино-Жулебино
25770,Выхино-Жулебино
23428,Раменки
22504,Мещанский
26019,Мещанский
105190,Мещанский
21895,Лианозово
67810,Алексеевский
129980,Алексеевский
145193,Красносельский
153752,Гольяново
27476,Гольяново
128803,Преображенское
151818,Сокольники
23310,Сокольники
24463,Преображенское
145765,Преображенское
157830,Басманный
85914,Таганский
28901,Марьино
26613,Выхино-Жулебино
146626,Выхино-Жулебино
25349,Марьино
115509,Таганский
77122,Таганский
