id,object_name,chain,object_type,address,number,street,district
107408,Бар «КОНСЕШН БАР»,False,бар,"город Москва, Днепропетровская улица, дом 2",0,Днепропетровская улица,Чертаново Северное
20400,Спорт-бар «Космик»,True,бар,"город Москва, Днепропетровская улица, дом 2",150,Днепропетровская улица,Чертаново Северное
23770,Ресторан «Космик»,True,ресторан,"город Москва, Днепропетровская улица, дом 2",100,Днепропетровская улица,Чертаново Северное
23754,Ресторан японской кухни «Маки-Маки»,True,ресторан,"город Москва, Днепропетровская улица, дом 2",48,Днепропетровская улица,Чертаново Северное
25562,Детское кафе «Космик»,True,кафе,"город Москва, Днепропетровская улица, дом 2",80,Днепропетровская улица,Чертаново Северное
27137,Ресторан «Чайхона №1»,True,ресторан,"город Москва, Днепропетровская улица, дом 2",180,Днепропетровская улица,Чертаново Северное
23733,ФЛОРЕНЦИЯ,False,ресторан,"город Москва, Ясеневая улица, дом 41А",80,Ясеневая улица,Орехово-Борисово Южное
29332,ШКОЛА 420,False,столовая,"город Москва, Шипиловская улица, дом 18, корпус 2",75,Шипиловская улица,Орехово-Борисово Северное
23700,Кафе ПРОНТО,True,кафе,"город Москва, улица Новинки, дом 12Б",188,улица Новинки,Нагатинский Затон
20394,Казан Мангал,False,кафе,"город Москва, улица Новинки, дом 12Б",45,улица Новинки,Нагатинский Затон
143681,Кофе с собой,True,кафе,"город Москва, Дербеневская набережная, дом 11",0,Дербеневская набережная,Даниловский
143534,Столовая,False,столовая,"город Москва, Дербеневская набережная, дом 11",300,Дербеневская набережная,Даниловский
143535,Кафе «PRIME»,False,кафе,"город Москва, Дербеневская набережная, дом 11",30,Дербеневская набережная,Даниловский
143555,Кафе «Бонум»,False,кафе,"город Москва, Дербеневская набережная, дом 11",40,Дербеневская набережная,Даниловский
21920,Бар «ВОРД КЛАСС»,False,бар,"город Москва, Варшавское шоссе, дом 122А",28,Варшавское шоссе,Чертаново Северное
119722,Кафе La Carotte,False,фастфуд,"город Москва, Варшавское шоссе, дом 47, корпус 4",92,Варшавское шоссе,Нагатино-Садовники
28988,Столовая «Школьная»,False,столовая,"город Москва, улица Борисовские Пруды, дом 19, корпус 1",100,улица Борисовские Пруды,Москворечье-Сабурово
129145,Столовая (Автосалон),False,столовая,"город Москва, проспект Андропова, дом 10А",72,проспект Андропова,Даниловский
137884,Кафе «Мясо на углях»,False,кафе,"город Москва, Электролитный проезд, дом 10",18,Электролитный проезд,Нагорный
137870,Кафе,False,кафе,"город Москва, Электролитный проезд, дом 10, строение 5",30,Электролитный проезд,Нагорный
27800,Столовая,False,столовая,"город Москва, Кавказский бульвар, дом 57, сооружение 46",50,Кавказский бульвар,Царицыно
28147,ФГУП «МРТИ РАН»,False,столовая,"город Москва, Варшавское шоссе, дом 132, сооружение 1",20,Варшавское шоссе,Чертаново Центральное
125604,Чайхона №1,True,ресторан,"город Москва, улица Симоновский Вал, дом 14Б",87,улица Симоновский Вал,Даниловский
70726,Предприятие быстрого обслуживания «Бургер Кинг»,True,фастфуд,"город Москва, Варшавское шоссе, дом 95, корпус 1",54,Варшавское шоссе,Чертаново Северное
70631,Предприятие быстрого обслуживания «Ресторанный дворик»,False,фастфуд,"город Москва, Варшавское шоссе, дом 95, корпус 1",180,Варшавское шоссе,Чертаново Северное
155575,КАФЕ,False,кафе,"город Москва, Варшавское шоссе, дом 95, корпус 1",46,Варшавское шоссе,Чертаново Северное
25637,Кофейня «Кофе хаус»,True,кафе,"город Москва, Варшавское шоссе, дом 95, корпус 1",44,Варшавское шоссе,Чертаново Северное
27729,Столовая «Вижн»,False,столовая,"город Москва, Ленинский проспект, дом 15А",96,Ленинский проспект,Донской
24553,Кафе «15 А»,False,кафе,"город Москва, Ленинский проспект, дом 15А",80,Ленинский проспект,Донской
26273,Ресторан «Бакинский бульвар»,True,ресторан,"город Москва, Балаклавский проспект, дом 11А",180,Балаклавский проспект,Чертаново Северное
